,precision,recall,f1-score,support
Heat Dissipation Failure,0.9090909090909091,0.4166666666666667,0.5714285714285714,24.0
No Failure,0.9788018433179724,0.998589562764457,0.988596695368862,2127.0
Overstrain Failure,0.8,0.7058823529411765,0.75,17.0
Power Failure,1.0,0.23809523809523808,0.38461538461538464,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9772830531576556,0.9772830531576556,0.9772830531576556,0.9772830531576556
macro avg,0.6146487920681469,0.39320563674458975,0.44910677523546966,2201.0
weighted avg,0.9715264436871919,0.9772830531576556,0.9710524215541926,2201.0
