,precision,recall,f1-score,support
Heat Dissipation Failure,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
No Failure,0.9860270144387517,0.99529854254819,0.9906410856340665,2127.0
Overstrain Failure,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
Power Failure,0.8181818181818182,0.42857142857142855,0.5625,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9809177646524307,0.9809177646524307,0.9809177646524307,0.9809177646524307
macro avg,0.5725869939889502,0.5036515311343155,0.5275939076470856,2201.0
weighted avg,0.9761732110354396,0.9809177646524307,0.9779210476100055,2201.0
