,precision,recall,f1-score,support
Heat Dissipation Failure,0.0,0.0,0.0,24.0
No Failure,0.9663789186733303,1.0,0.982902033271719,2127.0
Overstrain Failure,0.0,0.0,0.0,17.0
Power Failure,0.0,0.0,0.0,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9663789186733303,0.9663789186733303,0.9663789186733303,0.9663789186733303
macro avg,0.16106315311222172,0.16666666666666666,0.1638170055452865,2201.0
weighted avg,0.933888214456235,0.9663789186733303,0.9498558040749415,2201.0
