,precision,recall,f1-score,support
Heat Dissipation Failure,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
No Failure,0.9850885368126747,0.9938881053126469,0.9894687573133629,2127.0
Overstrain Failure,0.5,0.5294117647058824,0.5142857142857142,17.0
Power Failure,0.6923076923076923,0.42857142857142855,0.5294117647058824,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9786460699681963,0.9786460699681963,0.9786460699681963,0.9786460699681963
macro avg,0.515677149297839,0.47808966087610405,0.4916388171619377,2201.0
weighted avg,0.9724315217351297,0.9786460699681963,0.9752206047283979,2201.0
