,precision,recall,f1-score,support
Heat Dissipation Failure,1.0,0.5,0.6666666666666666,24.0
No Failure,0.9824074074074074,0.997649271274095,0.9899696757639375,2127.0
Overstrain Failure,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
Power Failure,0.8333333333333334,0.47619047619047616,0.6060606060606061,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.97955474784189,0.97955474784189,0.97955474784189,0.97955474784189
macro avg,0.5869371822803195,0.4466203500676246,0.49476321690539776,2201.0
weighted avg,0.9736849411883488,0.97955474784189,0.9751898105757235,2201.0
