,precision,recall,f1-score,support
Heat Dissipation Failure,0.3287671232876712,1.0,0.4948453608247423,24.0
No Failure,0.9946893255443441,0.8805829807240244,0.9341645885286783,2127.0
Overstrain Failure,0.5483870967741935,1.0,0.7083333333333334,17.0
Power Failure,0.5,0.6190476190476191,0.5531914893617021,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.05154639175257732,0.625,0.09523809523809523,8.0
accuracy,0.8777828259881872,0.8777828259881872,0.8777828259881872,0.8777828259881872
macro avg,0.403898322893131,0.687438433295274,0.46429547788109193,2201.0
weighted avg,0.9740252422403025,0.8777828259881872,0.9192480514154747,2201.0
