,precision,recall,f1-score,support
Heat Dissipation Failure,0.3380281690140845,1.0,0.5052631578947369,24.0
No Failure,0.9955555555555555,0.842501175364363,0.9126559714795008,2127.0
Overstrain Failure,0.53125,1.0,0.6938775510204082,17.0
Power Failure,0.4583333333333333,0.5238095238095238,0.4888888888888889,21.0
Random Failures,0.005780346820809248,0.25,0.011299435028248588,4.0
Tool Wear Failure,0.0594059405940594,0.75,0.11009174311926606,8.0
accuracy,0.8409813721035893,0.8409813721035893,0.8409813721035893,0.8409813721035893
macro avg,0.39805889088630697,0.7277184498623145,0.453679457905175,2201.0
weighted avg,0.9744724950636257,0.8409813721035893,0.8979255265086109,2201.0
