,precision,recall,f1-score,support
Heat Dissipation Failure,0.5384615384615384,0.875,0.6666666666666666,24.0
No Failure,0.9935419771485345,0.9402914903620122,0.966183574879227,2127.0
Overstrain Failure,0.47058823529411764,0.9411764705882353,0.6274509803921569,17.0
Power Failure,0.34782608695652173,0.7619047619047619,0.47761194029850745,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.05128205128205128,0.25,0.0851063829787234,8.0
accuracy,0.9336665152203544,0.9336665152203544,0.9336665152203544,0.9336665152203544
macro avg,0.40028331485712726,0.6280621204758349,0.47050325753588024,2201.0
weighted avg,0.9731492351450948,0.9336665152203544,0.9506814321875878,2201.0
