,precision,recall,f1-score,support
Heat Dissipation Failure,0.08778625954198473,0.9583333333333334,0.16083916083916083,24.0
No Failure,0.9953617810760668,0.5044663845792196,0.669578783151326,2127.0
Overstrain Failure,0.208955223880597,0.8235294117647058,0.3333333333333333,17.0
Power Failure,0.10975609756097561,0.42857142857142855,0.17475728155339806,21.0
Random Failures,0.00199203187250996,0.25,0.003952569169960474,4.0
Tool Wear Failure,0.02857142857142857,0.75,0.05504587155963303,8.0
accuracy,0.5115856428895956,0.5115856428895956,0.5115856428895956,0.5115856428895956
macro avg,0.2387371370839271,0.6191500930414479,0.2329178332678019,2201.0
weighted avg,0.96562246024017,0.5115856428895956,0.6532698584513654,2201.0
