,precision,recall,f1-score,support
Heat Dissipation Failure,0.625,0.8333333333333334,0.7142857142857143,24.0
No Failure,0.9893924783027965,0.9647390691114246,0.9769102594620328,2127.0
Overstrain Failure,0.5555555555555556,0.8823529411764706,0.6818181818181818,17.0
Power Failure,0.5238095238095238,0.5238095238095238,0.5238095238095238,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.07142857142857142,0.25,0.1111111111111111,8.0
accuracy,0.9541117673784644,0.9541117673784644,0.9541117673784644,0.9541117673784644
macro avg,0.46086435484940796,0.5757058112384587,0.501322465081094,2201.0
weighted avg,0.9724914467814271,0.9541117673784644,0.9625219341201267,2201.0
