,precision,recall,f1-score,support
Heat Dissipation Failure,0.0707395498392283,0.9166666666666666,0.13134328358208955,24.0
No Failure,0.9938587512794268,0.45651151857075695,0.6256443298969072,2127.0
Overstrain Failure,0.07368421052631578,0.8235294117647058,0.13526570048309178,17.0
Power Failure,0.005532503457814661,0.19047619047619047,0.010752688172043012,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.45933666515220356,0.45933666515220356,0.45933666515220356,0.45933666515220356
macro avg,0.19063583585046426,0.39786396457972,0.15050100035568859,2201.0
weighted avg,0.9618374045066077,0.45933666515220356,0.6071890285581633,2201.0
