,precision,recall,f1-score,support
Heat Dissipation Failure,0.0,0.0,0.0,24.0
No Failure,0.9712328767123287,1.0,0.985406532314107,2127.0
Overstrain Failure,0.8571428571428571,0.35294117647058826,0.5,17.0
Power Failure,1.0,0.19047619047619047,0.32,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9709223080417991,0.9709223080417991,0.9709223080417991,0.9709223080417991
macro avg,0.47139595564253095,0.25723622782446315,0.30090108871901783,2201.0
weighted avg,0.954740462216516,0.9709223080417991,0.9591911377701523,2201.0
