,precision,recall,f1-score,support
Heat Dissipation Failure,0.20689655172413793,1.0,0.34285714285714286,24.0
No Failure,0.9967989756722151,0.7320169252468265,0.8441312008674438,2127.0
Overstrain Failure,0.3695652173913043,1.0,0.5396825396825397,17.0
Power Failure,0.30952380952380953,0.6190476190476191,0.4126984126984127,21.0
Random Failures,0.0034965034965034965,0.25,0.006896551724137931,4.0
Tool Wear Failure,0.040268456375838924,0.75,0.07643312101910828,8.0
accuracy,0.7351203998182644,0.7351203998182644,0.7351203998182644,0.7351203998182644
macro avg,0.3210915856973015,0.7251774240490741,0.3704498281414641,2201.0
weighted avg,0.9715018995260453,0.7351203998182644,0.8278854869104696,2201.0
