,precision,recall,f1-score,support
Heat Dissipation Failure,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
No Failure,0.9891304347826086,0.9840150446638458,0.9865661088852227,2127.0
Overstrain Failure,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
Power Failure,0.6818181818181818,0.7142857142857143,0.6976744186046512,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9722853248523399,0.9722853248523399,0.9722853248523399,0.9722853248523399
macro avg,0.5123331209222087,0.5338671199556456,0.5225368199411228,2201.0
weighted avg,0.9758083471859819,0.9722853248523399,0.9740041611733335,2201.0
