,precision,recall,f1-score,support
Heat Dissipation Failure,0.5641025641025641,0.9166666666666666,0.6984126984126984,24.0
No Failure,0.994475138121547,0.9308885754583921,0.9616318601262749,2127.0
Overstrain Failure,0.5714285714285714,0.9411764705882353,0.7111111111111111,17.0
Power Failure,0.5483870967741935,0.8095238095238095,0.6538461538461539,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.041666666666666664,0.25,0.07142857142857142,8.0
accuracy,0.9254884143571104,0.9254884143571104,0.9254884143571104,0.9254884143571104
macro avg,0.4533433395155904,0.6413759203728505,0.5160717324874683,2201.0
weighted avg,0.976988109224384,0.9254884143571104,0.9489068414091676,2201.0
