,precision,recall,f1-score,support
Heat Dissipation Failure,1.0,0.5416666666666666,0.7027027027027027,24.0
No Failure,0.9837737598516458,0.997649271274095,0.9906629318394025,2127.0
Overstrain Failure,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
Power Failure,0.7857142857142857,0.5238095238095238,0.6285714285714286,21.0
Random Failures,0.0,0.0,0.0,4.0
Tool Wear Failure,0.0,0.0,0.0,8.0
accuracy,0.9804634257155839,0.9804634257155839,0.9804634257155839,0.9804634257155839
macro avg,0.5792283997511847,0.461501302448577,0.5046365693424517,2201.0
weighted avg,0.9745510164490916,0.9804634257155839,0.9764674788220237,2201.0
